"player's name","total points","total rebounds","assists","steals","blocks","turnovers","games played","salary","missed field goals","missed free throws","efficiency index"
"Kevin Garnett",3.21052631578947,3.94736842105263,1.63157894736842,0.736842105263158,0.263157894736842,-0.421052631578947,38,8500000,-1.60526315789474,-0.184210526315789,3.79888079784936
"Nemanja Bjelica",5.13333333333333,3.5,1.38333333333333,0.433333333333333,0.35,-0.783333333333333,60,4e+06,-2.08333333333333,-0.25,5.02922818067885
"Anthony Davis",24.2786885245902,10.2786885245902,1.90163934426229,1.27868852459016,2.04918032786885,-1.98360655737705,61,7070730,-9.44262295081967,-1.70491803278689,21.1883579290991
"Ryan Anderson",17.030303030303,6,1.10606060606061,0.575757575757576,0.378787878787879,-1.36363636363636,66,8500000,-8.06060606060606,-0.439393939393939,13.8645610389353
"Kristaps Porzingis",14.2777777777778,7.30555555555556,1.29166666666667,0.736111111111111,1.86111111111111,-1.68055555555556,72,4131720,-7.125,-0.541666666666667,12.3943644697617
"Kyle O'Quinn",4.75384615384615,3.84615384615385,1.10769230769231,0.307692307692308,0.753846153846154,-0.938461538461538,65,3750000,-2.18461538461538,-0.215384615384615,4.76612312432878
"Lance Thomas",8.20338983050847,2.22033898305085,0.898305084745763,0.372881355932203,0.11864406779661,-0.966101694915254,59,1650000,-3.61016949152542,-0.288135593220339,6.54598658295926
"Lou Amundson",1.79310344827586,1.68965517241379,0.413793103448276,0.206896551724138,0.241379310344828,-0.517241379310345,29,1650000,-1.17241379310345,-0.448275862068966,1.73859930797045
"Josh Huestis",2.8,2,0,0.2,0.4,-0.6,5,1140240,-1.4,-0.8,2.56434656855278
"Mitch McGary",1.3,0.9,0.15,0.05,0.1,-0.35,20,1463040,-0.6,-0.3,1.2070266079134
"Nick Collison",2.08474576271186,2.89830508474576,0.88135593220339,0.254237288135593,0.271186440677966,-0.847457627118644,59,3750000,-1,-0.169491525423729,2.53060288866288
"Serge Ibaka",12.6025641025641,6.83333333333333,0.846153846153846,0.487179487179487,1.8974358974359,-1.38461538461538,78,12350000,-5.80769230769231,-0.384615384615385,11.2292517524929
"Aaron Gordon",9.21794871794872,6.5,1.64102564102564,0.756410256410256,0.705128205128205,-0.846153846153846,78,4171680,-3.91025641025641,-0.82051282051282,8.98410558348074
"Andrew Nicholson",6.85714285714286,3.58928571428571,0.446428571428571,0.178571428571429,0.392857142857143,-0.732142857142857,56,2380594,-2.92857142857143,-0.25,6.11292258131425
"Ersan Ilyasova",8.09090909090909,5.5,0.545454545454545,0.636363636363636,0.272727272727273,-0.545454545454545,22,7900000,-4.04545454545455,-0.590909090909091,7.49585777074334
"Carl Landry",9.75,4.05555555555556,0.888888888888889,0.333333333333333,0.25,-0.611111111111111,36,6500000,-3.08333333333333,-0.666666666666667,8.72986178704087
"Christian Wood",3.58823529411765,2.23529411764706,0.176470588235294,0.294117647058824,0.411764705882353,-0.117647058823529,17,305789,-1.82352941176471,-0.470588235294118,3.24620542990762
"Richaun Holmes",5.62745098039216,2.64705882352941,0.647058823529412,0.372549019607843,0.784313725490196,-0.627450980392157,51,1050000,-2.11764705882353,-0.450980392156863,5.05740602174448
"Alan Williams",2.9,3.8,0.5,0.4,0.5,-0.6,10,114285,-1.4,-0.5,3.38978238729915
"Cory Jefferson",2.75,2,0,0,0.125,0,8,421449,-1.625,-0.25,2.49148079421256
"Jon Leuer",8.46268656716418,5.56716417910448,1.07462686567164,0.567164179104478,0.447761194029851,-1.11940298507463,67,1035000,-3.61194029850746,-0.358208955223881,8.01685878617917
"Mirza Teletovic",12.2151898734177,3.82278481012658,1.12658227848101,0.40506329113924,0.265822784810127,-1.06329113924051,79,5500000,-5.63291139240506,-0.443037974683544,9.84797169718713
"Cliff Alexander",1.25,0.75,0,0.125,0.25,-0.125,8,525093,-0.625,0,1.12122778116712
"Ed Davis",6.49382716049383,7.39506172839506,1.08641975308642,0.703703703703704,0.888888888888889,-0.790123456790123,81,7e+06,-1.61728395061728,-1.11111111111111,7.73657951971379
"Meyers Leonard",8.37704918032787,5.14754098360656,1.50819672131148,0.131147540983607,0.295081967213115,-1.26229508196721,61,3075880,-3.9344262295082,-0.180327868852459,7.70008079058257
"Noah Vonleh",3.62820512820513,3.91025641025641,0.384615384615385,0.346153846153846,0.333333333333333,-0.641025641025641,78,2637720,-2.06410256410256,-0.166666666666667,3.80182650226389
"Eric Moreland",1,1.375,0.125,0,0.5,-0.375,8,845059,-0.375,-0.25,1.21593886096867
"Quincy Acy",5.20338983050847,3.1864406779661,0.457627118644068,0.491525423728814,0.406779661016949,-0.457627118644068,59,981348,-1.61016949152542,-0.305084745762712,5.0586412711464
"Boris Diaw",6.38157894736842,3.06578947368421,2.31578947368421,0.342105263157895,0.276315789473684,-1.27631578947368,76,7e+06,-2.38157894736842,-0.263157894736842,5.88840615213166
"David West",7.1025641025641,3.96153846153846,1.83333333333333,0.564102564102564,0.705128205128205,-0.871794871794872,78,1499000,-2.61538461538462,-0.217948717948718,6.74898296160383
"LaMarcus Aldridge",17.9864864864865,8.54054054054054,1.48648648648649,0.513513513513513,1.09459459459459,-1.33783783783784,74,19500000,-6.87837837837838,-0.581081081081081,16.0859685267418
"Anthony Bennett",1.47368421052632,1.21052631578947,0,0.263157894736842,0,-0.210526315789474,19,947276,-1,-0.0526315789473684,1.33525087566746
"James Johnson",5.03508771929825,2.21052631578947,1.17543859649123,0.508771929824561,0.578947368421053,-0.947368421052632,57,2500000,-2.21052631578947,-0.508771929824561,4.39519828312545
"Luis Scola",8.73684210526316,4.73684210526316,0.868421052631579,0.605263157894737,0.355263157894737,-0.894736842105263,76,3e+06,-4.32894736842105,-0.302631578947368,7.688343500029
"Patrick Patterson",6.87341772151899,4.32911392405063,1.18987341772152,0.670886075949367,0.40506329113924,-0.822784810126582,79,6268675,-3.65822784810127,-0.0632911392405063,6.25051476987252
"Derrick Favors",16.3870967741935,8.11290322580645,1.51612903225806,1.19354838709677,1.46774193548387,-1.67741935483871,62,11933333,-6.33870967741935,-1.19354838709677,14.7594211870785
"Trevor Booker",5.86075949367089,5.72151898734177,1.06329113924051,0.746835443037975,0.518987341772152,-1.0253164556962,79,4775000,-2.50632911392405,-0.443037974683544,6.26666733093373
"Trey Lyles",6.1,3.7375,0.7375,0.325,0.225,-0.8125,80,2239800,-3.0625,-0.3125,5.50325718616054
"Drew Gooden",2.73333333333333,2.83333333333333,0.433333333333333,0.266666666666667,0.366666666666667,-0.433333333333333,30,3300000,-2.33333333333333,-0.166666666666667,2.57517083414261
"Jared Dudley",7.87654320987654,3.53086419753086,2.09876543209877,0.925925925925926,0.222222222222222,-0.987654320987654,81,4250000,-3.1358024691358,-0.320987654320988,7.07983619188312
